cofi 1ycmt 5ycmt primeRate 3mTbill.2mkt
8.807 8.22 8.17 10.5 7.75
8.643 7.99 7.97 10.5 7.64
8.595 7.77 7.81 10.5 7.69
8.476 7.72 7.75 10.5 7.63
8.369 7.92 8.12 10.11 7.64
8.403 8.11 8.42 10 7.74
8.258 8.35 8.6 10 7.9
8.211 8.4 8.77 10 7.77
8.171 8.32 8.74 10 7.74
8.086 8.1 8.43 10 7.73
8.109 7.94 8.33 10 7.62
8.075 7.78 8.44 10 7.45
8.091 7.76 8.51 10 7.36
8.05 7.55 8.33 10 7.17
8.044 7.31 8.02 10 7.06
7.963 7.05 7.73 10 6.74
7.858 6.64 7.7 9.52 6.22
7.848 6.27 7.47 9.05 5.94
7.654 6.4 7.77 9 5.91
7.501 6.24 7.7 9 5.65
7.329 6.13 7.7 8.5 5.46
7.155 6.36 7.94 8.5 5.57
6.998 6.31 7.91 8.5 5.58
6.845 5.78 7.43 8.5 5.33
6.714 5.57 7.14 8.2 5.22
6.566 5.33 6.87 8 4.99
6.414 4.89 6.62 7.58 4.56
6.245 4.38 6.19 7.21 4.07
6.002 4.15 6.24 6.5 3.8
5.8 4.29 6.58 6.5 3.84
5.611 4.63 6.95 6.5 4.04
5.427 4.3 6.78 6.5 3.75
5.29 4.19 6.69 6.5 3.63
5.258 4.17 6.48 6.5 3.66
5.069 3.6 5.84 6.02 3.21
4.874 3.47 5.6 6 3.13
4.805 3.18 5.38 6 2.91
4.597 3.3 5.6 6 2.86
4.508 3.68 6.04 6 3.13
4.432 3.71 6.08 6 3.22
4.36 3.5 5.83 6 3
4.333 3.39 5.43 6 2.93
4.245 3.33 5.19 6 2.95
4.171 3.24 5.13 6 2.87
4.103 3.36 5.2 6 2.96
4.05 3.54 5.22 6 3.07
3.998 3.47 5.09 6 3.04
3.958 3.44 5.03 6 3.02
3.881 3.36 4.73 6 2.95
3.823 3.39 4.71 6 3.02
3.822 3.58 5.06 6 3.1
3.879 3.61 5.15 6 3.06
3.71 3.54 5.09 6 2.98
3.687 3.87 5.4 6 3.25
3.629 4.32 5.94 6.06 3.5
3.672 4.82 6.52 6.45 3.68
3.726 5.31 6.78 6.99 4.14
3.804 5.27 6.7 7.25 4.14
3.86 5.48 6.91 7.25 4.33
3.945 5.56 6.88 7.51 4.48
4.039 5.76 7.08 7.75 4.62
4.187 6.11 7.4 7.75 4.95
4.367 6.54 7.72 8.15 5.29
4.589 7.14 7.78 8.5 5.6
4.747 7.05 7.76 8.5 5.71
4.925 6.7 7.37 9 5.77
5.007 6.43 7.05 9 5.73
5.064 6.27 6.86 9 5.65
5.141 6 6.41 9 5.67
5.179 5.64 5.93 9 5.47
5.144 5.59 6.01 8.8 5.42
5.133 5.75 6.24 8.75 5.4
5.111 5.62 6 8.75 5.28
5.116 5.59 5.86 8.75 5.28
5.119 5.43 5.69 8.75 5.36
5.059 5.31 5.51 8.65 5.14
5.033 5.09 5.36 8.5 5
4.975 4.94 5.38 8.25 4.83
4.874 5.34 5.97 8.25 4.96
4.841 5.54 6.3 8.25 4.95
4.823 5.64 6.48 8.25 5.02
4.809 5.81 6.69 8.25 5.09
4.819 5.85 6.64 8.25 5.15
4.839 5.67 6.39 8.25 5.05
4.834 5.83 6.6 8.25 5.09
4.839 5.55 6.27 8.25 4.99
4.835 5.42 5.97 8.25 5.03
4.842 5.47 6.07 8.25 4.91
4.821 5.61 6.33 8.25 5.03
4.759 5.53 6.2 8.25 5.01
4.78 5.8 6.54 8.3 5.14
4.822 5.99 6.76 8.5 5.16
4.864 5.87 6.57 8.5 5.05
4.853 5.69 6.38 8.5 4.93
4.887 5.54 6.12 8.5 5.05
4.904 5.56 6.16 8.5 5.14
4.941 5.52 6.11 8.5 4.95
4.957 5.46 5.93 8.5 4.97
4.949 5.46 5.8 8.5 5.14
4.963 5.53 5.77 8.5 5.16
4.987 5.24 5.42 8.5 5.04
4.968 5.31 5.49 8.5 5.09
4.917 5.39 5.61 8.5 5.03
4.903 5.38 5.61 8.5 4.95
4.881 5.44 5.63 8.5 5
4.881 5.41 5.52 8.5 4.98
4.911 5.36 5.46 8.5 4.96
4.899 5.21 5.27 8.5 4.9
4.882 4.71 4.62 8.49 4.61
4.762 4.12 4.18 8.12 3.96
4.691 4.53 4.54 7.89 4.41
4.655 4.52 4.45 7.75 4.39
4.608 4.51 4.6 7.75 4.34
4.562 4.7 4.91 7.75 4.44
4.519 4.78 5.14 7.75 4.44
4.49 4.69 5.08 7.75 4.29
4.48 4.85 5.44 7.75 4.5
4.504 5.1 5.81 7.75 4.57
4.5 5.03 5.68 8 4.55
4.562 5.2 5.84 8.06 4.72
4.608 5.25 5.8 8.25 4.68
4.666 5.43 6.03 8.25 4.86
4.773 5.55 5.97 8.37 5.07
4.852 5.84 6.19 8.5 5.2
4.901 6.12 6.58 8.5 5.32
4.967 6.22 6.68 8.73 5.55
5.002 6.22 6.5 8.83 5.69
5.078 6.15 6.26 9 5.66
5.196 6.33 6.69 9.24 5.79
5.357 6.17 6.3 9.5 5.69
5.456 6.08 6.18 9.5 5.96
5.509 6.18 6.06 9.5 6.09
5.548 6.13 5.93 9.5 6
